name,lat,lon
0,24.365443,88.602559
1,24.363523,88.604529
2,24.361795,88.627051
3,24.367206,88.606861
4,24.366714,88.617953
5,24.37015,88.620992
6,24.369076,88.624424
7,24.374996,88.622174
8,24.370362,88.608506
9,24.374515,88.604045
10,24.367824,88.601172
11,24.375599,88.592538
12,24.369511,88.589896
13,24.366106,88.597434
14,24.368375,88.581021
15,24.376189,88.560813
16,24.375017,88.563234
17,24.379985,88.56461
18,24.37225,88.582401
19,24.376843,88.586310
20,24.376424,88.589081
